English,Kikuyu
25% sand: For that just-right drainage,25% mūthanga: wa kūrigīrīria kwaraha kwa maaī ma mbura
What is the best NPK fertilizer for mango trees?,Nī bataraitha īrīkū ya NPK yagīrīire mīembe?
Mango trees have a thing for potassium.,Mīembe īkenagio mūno nī potassium.
It's like their secret sauce for a bountiful harvest.,Nīyo hitho yayo ya kūingīhia maciaro.
"An 8-3-9 fertilizer hits the sweet spot, offering a potassium-rich mix that doesn't go overboard on the nitrogen.",Mūtukanio wa bataraitha wa 8-3-9 ūkoragwo ūrī mwega tondu ndūkīragia Nitrogen na nīūheaga mūembe potassium ya kūigana.
"Remember, more leaves don't mean more fruit",Nīwega kūmenya atī wūingī wa mahuti tikuo kūingīhia matunda.
When should I put my mango seed in soil?,Hihi nīrī batiī kūhanda mbeū ya mūembe tīīri-inī?
"Mango seeds are best planted in the summer, as there are many hours of sunlight, helping the tree grow.","Mbeū cia mīembe ciendaga kūhandwo hīndī īrīa kūri na riūa inene,  nīgetha īkagia na mahinda manene ma rīua, rīrīa rītūmaga mūtī ukure na ihenya."
Is cow manure good for mango trees?,Hihi thumu wa ng’ombe nī mwega kūrī mīembe?
Cow dung mixed with water should be used as fertilizer and mixed into soil near the base of a newly planted mango tree.,Rūrūa rūngītukanio na maaī nīrūhūthīkaga ta bataraitha na rūtukanagio na tīīri gītīna-inī kia mūembe.
Manure is a great source of nutrients and can be treated very easily with the help of some simple methods,Thumu nī kīhumo kiega mūno kia irio cia mūembe na no ūharīrio wega na njīra hūthū cigana ūna.
Is chicken manure good for mango trees?,Hihi thumu wa ngūkū nī mwega kūrī mīembe?
Do NOT use chicken manure or fertilise too soon after planting.,Ndūgekīre thumu wa ngūkū kana bataraitha na ihenya thutha wa kūhanda mīembe yaku.
DO water regularly (every second day).,Itagīrīria mīembe yaku maaī o thutha wa thikū igīrī.
What is the best way to prune mangoes?,Mīembe īcehagwo atīa?
The best way to keep a mango tree small is to prune it when it is young.,Mūembe wagīrīirwo gūcehwo ūrīmū nini.
"As a general rule, prune any branch that is more than a meter in length to about a meter.",Kaingī nī wega gūceeha honge ciothe iria ikīrītie ūraihu wa mita īmwe ūcitige irī cia mita īmwe.
Then make additional cuts every time the branches grow to eight inches.,Rūmīrīra gūceha honge ciakinyia ūraihu wa inji inyanya.
After every harvest you should make another pruning to prepare the tree for the next season and to keep it healthy.,"O maembe magethwo, mītī īgacehwo īkīharīrīrio kīmera kīria kīrumīrīire na kūmīiga īrī na hinya."
"This should be done with lopping shears, you can also prune dead branches and those with diseases.",Ceeha ūkīhūthīra magathī ūkīrutaga honge īria nguū na iria ndwaru.
Make sure the soil is moist but not drenched.,Tigagīrīra tīīri nī mūigū no ti mūcagacu.
Let the soil dry out almost completely between watering.,Rekaga tīīri ūūme hakuhībiū ūtanahe maaīringī.
"Water your mango tree regularly, but do not overwater it.","Heyaga mīembe maaī maita maingī, no ndūgakīragie."
What are the challenges experienced by mango farmers in Kenya?,Nī mathīna marīkū arīmi a maembe būrūri-inī wa Kenya matūnganaga namo?
"Pest and diseases – Mango pests and diseases can wipe out your mango orchard, or make your mango harvest be of inferior quality, leading to losses.",Mīrimū na tūtambi: Mīrimū na tūtambi no īgūthūkīrie mūgūnda wothe kana ītūme mīembe īciare matunda matarī mega na gūcūngīrīria hathara.
"Poor Management – Most mango farmers ignore their mango trees, only paying attention during harvest time.",Mūtungatīre mūru wa mīembe: Arīmī aingī nī magaga gūtungata mīembe igīkūra na kwīrūmbūiya tu hīndī ya magetha.
"The trees are left to scatter on the farm and grow as they wish, without any activities like pruning, disease control, pest control, etc.","Mītī ītigagwo īkūre o urīa īkwenda, itagūcehwo kana kūgitīrwo kuumana na mīrimū, tūtambi, na maūndū mangī."
"Proper management activities of the mango orchard can lead to good quality harvests, hence more income.",Mīembe īngītungatwo wega no īgīe na magetha mega na kūingīhia umithio.
"Poor market identification – Most mango farmers, due to poor planning, are not able to identify a market for their produce early enough.","Kwaga kūmenya thoko njega ya maembe. Nīūndū wa kwaga kwibanga wega, arīmī matikoragwo mooī kūrīa makendia maembe mao."
"This leaves them at the mercy of brokers, who dictate meager prices.",Ūndū ūyū ūtigaga arīmi moko-inī na brokers iria ithukagia thogora wa maembe.
"If you plan early, project your harvest, and identify a target market, then mango farming will be a lucrative venture.","Mūrīmi angībanga wega, amenye akagetha maembe maigana atīa, na amenye akendia kū, ūrīmi wa maembe no ūkorwo ūrī biashara ya kwīrirīrio."
"Poor Planting Material – Most mango farmers germinate seeds from the available indigenous seeds, instead of going for the grafted seedlings that start bearing fruit earlier than the ungrafted counterparts.",Mbegū ītakinyanīirie ikīro: Arīmi aingī mahandaga mbeū cia kīmerera handū ha īrīa jiarithanie iria iciaraga mbere ya īrīa ītarī jiarithanie.
Grafted mangoes are easier to manage and are more productive.,Mīembe mīciarithanie nī mīhūthū gūtungata na īciaraga mūno.
Post-harvest Losses – Mangoes in Kenya are harvested during one season.,Gūthūka kwa maembe magethwo: Maembe būrūri-inī wa Kenya makorawo na kīmera kīmwe.
This leads to a glut in the market.,Ūndū ūyū ūtūmaga kūgie na wūingī wamo thoko-inī.
"During the mango season, lots of fruit goes to waste because of a lack of proper storage and transport to the market.","Hīndī ya magetha, maembe maingī nī moraga nīundū wa kwaga kūndū kwega gwa kūiga na miumīrīrie mīega."
When do you irrigate mango trees?,Hihi mīembe īitagīrīrio maaī rī?
Mango trees need less water than other commercial fruit tree farming like banana farming.,Mīembe ībataraga maaī manīnī gūkīra mīmera īrīa īngī ya matunda ta marigū.
"Mango farm should be irrigated at an interval of two to three days, in the first year of your mango farming business.",Mīembe yagīrīirwo gūitīīrīrio maaī o thutha wa mīthenya īrī kana ītatū mwaka-īnī wa mbere.
"However, at the stage when they start to bear fruit about two irrigations are required.","Ona kūrī ūguo, mīembe yambīrīria gūciara yendaga maaī maita meerī."
You must give water to the fruits bearing plant at an interval of 10 – 15 days.,Mīembe iciarīte ībatiī gūitīīrīrīo maaī o thutha wa thikū ikūmi nginya ikūmi na ithano.
Irrigation should be stopped after their full growth.,Mīembe ītigaga gūitīīrīrīo maaī yarīkia kūgimara.
Take proper care during the flowering stage.,Mīembe ībatiī kūmenyererwo makīria rīrīa īkūīte kīro.
"During this stage, stop giving them water.","Hīndī īno,mīembe ndīkaheo maaī."
"However, if irrigation does not stop, it may lead to bad quality mango fruit production.","īngīaga gūtiga kūheo maaī, mīembe no īciare matunda matarī mega."
How to control weeds in mangoes?,Mūgūnda wa mīembe ūrīmagīrwo atīa?
In order to manage weeds effectively in mango orchards farmers should practice chemical weed control.,"Nīguo kūnina riia biū mīgūnda-inī ya mīembe, arīmi magīrīirūo kūhūthīra dawa cia ria."
This method is cost effective and saves time.,īno nī njīra itarī goro mūnene na īhonokagia mahinda.
Chemical weeding involves spraying Catapult® 480 SL 200 ml/20l to actively growing weeds.,Dawa ya kūhuhīra ria nī ta Catapult® 480 SL īrīa ītukanagio milimita magana merī na rita mīrongo īrī cia maaī.
The spray should not come into contact with leaves or stems of young trees.,Dawa ya ria ndībatīī kūhutīa mathangū ma mītī ya mīembe kana itina cia mītī īrīa mīnini.
When should pruning of mangoes start?,Mītī ya mīembe ībatīī gūcehwo kuuma rī?
Pruning should start early for shaping the tree.,Guceha kūbatīe kwambīrīria o tene nīgetha mītīīige wega.
"At 1m high, cut the main shoot back to 0.6-0.7 m below the ring buds with secateurs.","Mītī ya ūraihū wa mita īmwe, ītīnio kīongo na magathī ītīgwo īrī na ūraihu wa 0.6m nginya 0.7m."
"After new growth select only 3-4 outward shoots to grow to branches to 1m length, then cut them back to 50-75 cm length again.","Mutī wahethūka ūthuure makunū matatū kana mana na marekwo makure nginya makinyie ūraihu wa mita īmwe, macio namo matinio makuhīhe nginya sentimita 50 nginya 75."
Repeat the same process twice. Ideal mango tree should have 3-4 main trunks open and be 4-5 meters high.,Cokera o ūguo maita mangī merī. Mūembe ūria mwega ubatiī gūkorwo na honge ithatū kana inya na ikorwo na ūraihu wa mita inya nginya ithano.
How should established mango trees be pruned?,Mīembe mīgīma īcehagwo atīa?
Pruning established trees will involve removing all diseased or dead branches to keep infestation from spreading.,Guceha mītī mīgima nī kūruta honge ciothe iria ndwaru na nyūmū nīgetha mīrimū ndīgathereme.
Remove hanging branches to keep fruit from dragging on the ground.,Ceha honge ciothe icunjurīte nīguo matunda matikahutie tīīri.
Removal of vertical shoots as opposed to horizontal ones for tree shaping and maintaining the right height.,Ceha honge īria irūngiī na ūtige iria ngīgamu īria iheaga mūtī mūhianīre mwega na ūraihu wa ūria wagīrīire.
Trim horizontal branches to 50cm length.,Ceha honge ciothe ngīgamu ūtigie irī na ūraihu wa sentimita 50.
Open the tree center by removing cluttered branch to allow air and sunlight to reach all parts of the trees to stimulate growth and for ease of spray for any infections.,"Hingura mūtī na njīra ya kweheria honge iria ndumanu gatagatī nīgetha rīera rīcere, ūtheri wa riūa ūkinyīre mūtī wothe na kūhūthia mīhūrīre ya dawa."
Pruning should be done 2-4 weeks before flowering begins,Mītī yagīrīirwo gūcehwo wiki-inī ya kerī nginya ya kana mbere ya īrute mahūa.
When is the best time to prune mangoes?,Nī ihinda rīrīkū mīembe ibatiī gūcehwo?
Should be done after harvesting period is over (March-April) before the main flush in May.,"Thutha wa kūgetha maembe (March – April), no ningī mbere ya kīro gūīkīra mweri-inī wa gatano."
What is the procedure to prune mangoes?,Mūtaratara ūria mwega wa gūceha mīembe nī ūrīkū?
- Open the tree centre by removing all the branches growing towards it,Ceha gatagatīka mūembe ūkīrutaga honge ciothe iria irakūra irorete gitina.
- Remove all the branches crisscrossing and those which are shaded,Ruta honge ciothe iria ihīngīcanīte na iria ihumbīranīte.
- Remove die bark and dried twigs,Ruta honge ciothe iria ciumīte mīthia-inī na iria nyūmū.
- Remove branches growing downwards such that the lowest branch should be at least 1m above the ground,Ruta honge ciothe irorete na thī nīguo atī rūhonge rūrīa rūgūkorwo rūkuhīrīirie tīīri rūraihīrīrie na mita īmwe.
One should be careful not to over open the centre-the open space should be about 1/4 of the canopy,"Menyerera ndūgacehe gītagatī kīa mūtī makīria, eheria rūhonge rūmwe o harī inya (1/4)."
How to induce flowering in mangoes?,Hihi mīembe īngīkwo atīa nīguo īrute kīro?
This can be done through:,ūndū ūyū no wīkwo na njīra ya:
Cultural Methods,Njīra cia kīndūire:
"- Smudging (moist organic material – grass, leaves etc. is slowly burnt under the tree canopies and the resulting smoke induces flowering)",Gūcinīra mahuti rungu rwa mūembe kahora nīguo mūtī ūtogererwo na wītīkīre kūruta mahūa.
- Ringing the tree branches,Gūkurura honge cia mūembe ūthiūrūrūkītie.
- Pruning the roots,Guceha mīri.
- Applying salts on the roots,Kūhaka mīri cumbī.
"Chemical Methods
- Application of Potassium Nitrate (1%) Solution mixed with a sticker agent (adhesive) on the tree totally drenching its terminals and leaves",Ūhūthīri wa dawa; - Kūhūra mītī wega mūtukanio wa dawa ya Potassium Nitrate (1%) na sticker na ūgītigagīrira nīyahutia irūngo na mathangū.
"- If the timing is right, flowering will emerge 10-14 days after application","Angīkorūo ihinda nīrīagīrīire, mahūa makoneka thikū 10 nginya 14 thutha wa kūhūra dawa īno."
- The readiness of the tree to flower is an important factor for a successful operation.,Gūkorwo mūtī wīharīirie kūruta kīro nīūndū wa bata mūno.
Best results are achieved on trees with leaves that are dull green or greenish-brown and brittle when crushed by hand.,Njīra īno yonanagia moimīrīra mega mītī-inī īna mathangū matarī maruru kana ona maragaruruka rangi magatwīka ma gītīri na kūnīkanga na inegene mahehenjwo na gūoko.
The tree should have an appearance of suspended growth or be dormant - Auster or Culter (Paclobutrazol),Ningī nī mūtī ūhana gūtindima kana ūtaraciara-Auster kana Culter (Paclobutrazol)
- New product in Kenya. Also regulate production and one gets much higher yields,īno nī dawa njerū būrūri-inī wa Kenya. Na nīīteithagia gūtereba maciaro na ona gūtūma maingīhe.
Mangoes thrives well in which soils?,Mīembe yagagīra tīīri-inī ūhana atīa?
"Mango thrives well on a wide variety of soils, provided they are not too waterlogged, too alkaline or too shallow. od.","Mīembe yagīraga wega matī īri-inī wa mīthemba mīingī, angīkorwo matigūcagaca, kūrūra gīthemba gia tīīrī wa iria-inī, kana ti mariku wega."
"A pH of 5.5 – 7.5 is preferred. Deep well drained, loam or clay is go","Ūrūrū wa tīīrī wa kuuma pH ya 5.5 – 7.5 nīguo wagīrīire. tīīri ūraikūrūkia maaī wega, mūthemba wa loam kana clay nīguo mwega."
When do a mango seedling start to bear fruits?,Mūembe ūciaraga thutha wa ihinda rīigana atīa?
"Mango seedlings start to bear fruit within 4-7 years, while grafted trees (if allowed) may bear a few fruits in their second year in the field","Mīembe iciaraga thutha wa miaka īna ngīnya mūgwanja, no īrīa mīciarithanie (īngītīkīrio) no īciare kuuma mwaka-inī wa kerī."
Does intercropping mangoes with other crops reduce weeding?,Hihi kūhanda indo ingī mīembe-inī nīkūgiragia mūgūnda ūgīe ria?
An intercrop in the first three years will reduce the cost of wedding.,Kūhandīrīra indo ingī mīaka-inī ya mbere ītatū nīkūnyihagia ngarama ya kūrīmīra.
"After the 4th year, the canopy will have reduced the weed incidences","Thutha wa mwaka wa kana, kīīruru kia mīembe nīkīgiragia ria kūmera."
How do mangoes with potassium deficiency look like?,Mūembe ūtaiganītie Potassium ūhanaga atīa?
-It is characterized by necrosis of leaf margin which starts from the tip downwards.,Ūgīaga na mathangū marī na ironda īria ciambagīrīria mīthia-inī.
-Fruit quality is highly reduced.,Matunda matikoragwo mega ona hanini.
-Disease and pest attack as secondary infections,Mīrimū na tūtambi ikaugūmīra.
How do you control potassium deficiency in mangoes,Hihi ūnyihu wa potassium ūrūagwo naguo atīa?
"Manage by applying muriate of potash, urea and super phosphate fertilizer","Rūa naguo na njīra ya gwīkīra bataraitha mīthemba ya muriate ya potash,urea na super phospate."
Boron deficiency symptoms?,Ndariri cia ūnyihu wa Boron nī irīkū?
"-It is characterized by flower abortion, and also cracking of fruits.",Mūembe wūitaga kīro na matunda magakaragacuka.
-Brown areas can also be seen in yellow fruit pulp,Maroro ma rangi wa tīīri marīa marī igūru wa iembe no maingīre nginya thīinī.
How to control boron deficiency,Kīhonia kīa ūnyihu wa boron nī kīrīkū?
Apply 250gm boron per tree (10-15-year-old).,He mītī yothe īna ūkūrū wa mīaka ikūmi nginya ikūmi na ītano mūigana wa gramu 250 ya boron o mūtī.
Copper deficiency symptoms in mangoes and how to manage?,Ndariri cia wagi wa coppers mīembe-inī nīi rīkū na ingīrūo nacio atīa?
"Common in young tree due to heavy nitrogenous fertilizer, the terminal shoot is weak, defoliation and die back of branches, drooping shaped branches. spray copper or copper oxychloride (0.3%) at monthly interval","Ndariri ici cionekaga kaingī mīembe-inī mīnini irīa īhetwo bataraitha ya nitrogen īgakīra, mūrūri ndūrī hinya, kūgūithia mathangū, kūūma kwa mīthia ya honge, kūinama kwa honge. Hūūra Copper kana Copper Oxychloride (0.3%) o thutha wa mweri ūmwe."
How can I make my mango tree grow faster?,Ingīka atīa nīguo mūembe wakwa ūkūre na ihenya makīria?
Plant the tree in a spot with full sunlight and well-draining soil.,Handa mūembe handū harakinyīrwo nī riūa na tīīri-inī ūraikūrūkia maaī wega.
Fertilization: Use a balanced fertilizer with higher nitrogen content to encourage fast growth during the growing season.,Hūthīra bataraitha thondeke wega īrī na nitrogen nyingī yagūteithia mūtī gūkūra naihenya.
"Watering: Water regularly, especially during the first few years","Mīhe maaī kaingī, makīria mīaka-inī ya kīambīrīria."
What are the best intercrops for mangoes?,Nī mīmera īrīkū īngīhandwo mīembe-inī?
"Many plants such as coconut, areca, lemon, guava, papaya, fig, banana, jack, pepper, can be grown as intercrops.","Nī mīmera mīingī ta mīnathi, areca, ndimū, mbera, mababaī, mūgumo, marigū, biribiri, jack, biribiri no īhandanīrio."
Why is my mango not growing?,Mīembe yakwa īraga gūkūra nīkī?
"There could be several factors that are causing this, such as a lack of nutrients, water, or sunlight.","Nīkūrī itūmi nyingī īngīgiria mīembe īkūre wega ta kwaga irio, maaī na riūa rīa kūigana."
Here are some steps you can take to help restore its growth:,Maūndū maya no mateithie gūcokereria gūkūra kwa mūembe:
Check the soil: Ensure that your mango plant is planted in nutrient-rich soil that drains well,Rora tīīri: Tigīrīra mūembe nī wahandwo tīīri-inī mūnoru na ūtaraiga maaī.
How do you increase pollination in mangoes?,Njīra cia kuongerera gūciarana kwa mīembe nī irīkū?
The method comprises the following specific steps:,Njīra īyo īkoragwo na makinya maya:
breeding flies one month before the flowing phase of the mango;,Gūciarithania ngi mweri ūmwe mbere ya mīembe kūruta mahūa;
inducing flies with discarded livestock entrails or dead fish or rotten meat to pollinate the mango in the full-bloom phase; .,"Nyama kana thamaki īrabutha īngīteo kūu mūgūnda-inī nīīgūtūma ngi iciaranīre kuo,iria iteithagia gūciarithania kwa mītī rīrīa īracanūka biū."
and killing and removing flies in the mango garden after flowers falling,na ngi icio ciūragwo kīro gīaītīka.
Why do mangoes split on tree?,Nīkīī gītūmaga maembe matūke marī mītī-inī?
"The unfavorable weather conditions (high temperature, heavy rainfall and humidity) may be the main reasons for fruit splitting in mango.","Rīera rītagīrīire, ta ūrugarī mūingī, mbura na ūhehu mūnene, no itūme maembe maatūke."
The main reason why the mango trees flower but not setting fruit is anthracnose disease which attack all part of the trees but most damage occurs to the flower panicles,"Gītūmi kīrīa kīnene gītūmaga mīembe īrute kīro noo yage gūciara nī mūrimū mūrū wa anthracnose ūrīa ūhutagia handū hothe ha mītī īyo, no mūno ūthūkagia mahūa."
What causes premature fruit drop in mangoes?,Maembe maitīkaga nīk īmatarī makūrū?
"They include dry weather or too much rain, pests, diseases and lack of fertiliser.","Maembe mangīitīka nīūndū wa ihinda inene rīa riūa, mbura nyīngī, tūtambi, mīrimū ona kwaga bataraitha."
Wrong time of fertilisation can cause the young fruits to fall off as well,Bataraitha īngīheo mītī ihinda rīrīa rītagīrīire nī ītūmaga matunda marīa manini magwe.
What is Propagation?,Hihi propagation nīkīī?
"It is the process by which new plants grow from various sources: seeds, cuttings, and other plant parts.","Ūyū nī mūtaratara wa gūciarithia na kūingīhia mīmera kuuma ihumo-inī ta mbeū, irūngo, na icunjī ingī cia mīmera."
"Mangoes can be propagated in two ways: sexually, that is, through seeds, and asexually.",Mīembe īciarithanagio kūhetūkīra njīra igīrī; kūhūthīra mbeū na gūciarithania gūtarīkūhūthīra mbeū.
"In mango farming, propagation is primarily done by seeds especially for the indigenous varieties.","ūrīmi-inī wa maembe, mīembe īciarithanagio kuuma mbeū-inī, na makīria kuuma mīembe-inī ya mīthemba ya kīndūire."
Exotic varieties are obtained by successfully grafting a scion on the indigenous rootstock.,Mīembe ya mūciarithanio yumaga kūrī kūgwatithania mīrūri na itina cia kīndūire.
This leads to development of the various dwarf trees.,ūndū ūyū ūgatūma mītī mīingī īkorūo īrī mīkuhī.
"During planting, spacing may vary from 5m by 5m to 8m by 8m depending on the growth habit of the variety.",Mīembe no ītaganio na mita ithano kwa ithano nginya mita inyanya kwa inyanya kūringana na mūthemba.
When are grafted seedlings ready for transplanting?,Hihi mīūngūrwa ya mīembe mīciarithanie īhandagwo rī?
- Grafted seedlings are ready for transplanting out to the field after 4 – 6 months,Mīūngūrwa ya mīembe mīciarithanie no ihandwo kuuma mweri wa kana nginya wa gatandatū.
- A mango tree must never be transplanted while it is flushing or when the leaves are still tender,Mūngūrwa ndūbatiī gūthamio ūtwarwo kūhandwo mūgūnda-inī ūtarutīte mathangū.
- Transplant after the second flush has hardened,Thamia mīūngūrwa thutha wa kūruta mathangū ma keerī.
- Transplant at the beginning of rains or water the holes before planting to ensure contact of the roots with moist soil,"Handa mīūngūrwa mbura yaringa, kana wambe wūite maaī irima-inī nīguo mīri īkore tīīri mūigū."
- Plant the young tree into the hole and fill the hole and press the soil around the stem firmly,"Handa mīūngūrwa irima-inī, ūrīihūrie na tīīri na ūkindīre hanini."
- Irrigation is necessary in absence of adequate rainfall for proper establishment of the young trees.,Mīmera īno īitīīrīrio maaī angīkorwo gūtirī mbura kana angīkorwo mīri ndīnyitīte wega.
Mulching around the tree is recommended to smother weeds and to conserve moisture,Kwarīra mahuti ma mūcing'i nīkwagīrīire nīguo kūgiria ria kūmera na kūiga maaī tīīri-inī.
"- Trees should be top dressed with 250g of CAN per tree at the beginning of each rainy season after attaining a height of 1 metre. However, soil analysis is recommended.",Mītī īno mīnini ībatiī kūheo bataraitha mūthemba wa CAN mūigana wa gramu magana merī ma mīrongo ītano o mbura īkīringa thutha wa mītī gūkinyia ūraihu wa mita īmwe. īndī tīīri nīwagīrīire gūthimwo.
Propagation materials for mangoes?,Nīindo irīkū ibatiīhīndīya gūciarithania mīembe?
Certified mango seedlings are acquired from registered nurseries.,Mīūngūrwa mīciarithanie yonekaga kuuma kūrī natharī iria hetūkie.
The farmer can top-work the already existing mango trees to introduce recommended varieties.,Mūrīmi no aciarithanie mītīyake ya kīndūire na mīthemba īngīirīa yendekithītio.
Farmers can also plant seeds (local varieties) at farm and later graft using scions from registered mother blocks.,mūrīmi no ahande mbeū cia kīndūire acooke aciciarithanie na mīrūri kuuma kūrī mīgūnda īrīa mīhītūkie.
What is grafting in mangoes ?,Gūciarithania kwa mīembe nīgwīka atīa?
Grafting is a vegetative propagation technique to multiply trees that have identical characteristics with the desired parent tree.,īno nī njīra ya gūciarithania mīembe ūkīhūthīra īcunjī kuuma kūrī mīthemba ya mītī īngīīrīa īrīna maūthī marendeka.
It involves placing a portion of one plant (bud or scion) on a stem or branch of another (stock) in such a way that a permanent union is formed and the partners will continue to grow,Mūrūri kuuma kūrī mūtī ūrīa ūrendeka wīkīragwo gītina-inī kīa mūtī wa kīndūire na njīra īkūhotithia mītī īno yerī kūgwatana.
Benefits of  grafting in mangoes ?,Mawega ma gūciarithania kwa mūthemba ūyū nī marīkū?
• Useful in plant propagation,Nī njīra ya bata ya kūingīhia mītī.
